USER-UPVOTES,POST_NUMBER,QUESTION,TIME-STAMPS,USER,POST,POST-UPVOTES,PAGE_NUMBER_OF_THE_POST,SUBJECT
1,1,YES,"Sat, Nov  5 '16 at 3:18PM EDT",angelpisces1983,"I have had this issue since I was a kid.  It never went away and the doctors always gave me little red pills to hel but it never did help.  And I am to poor for a doctor, how do I just make it stop
 When it happens I wake up and my back and tummy hurts really bad. And I'm covered in urine. I use the night time dipers for adults but they don't work most of the time.  I'm running out of options and don't know what else to do.  It's affecting my life in a bad way my relationship is going downhill because of it. My self esteem is almost gone. I'm just about to the point of giving up and being alone forever.what else is there,  what else can I do.",0,1,32 years old
37,2,NO,"Sat, Nov  5 '16 at 7:57PM EDT",msuspartan,"Where does your back hurt?  Around your kidneys?  How about your stomach?

What type of diapers are you using?  There are probably better brands availble.

I'm 35 and wear diapers to bed every night as well.",0,1,32 years old
1,3,NO,"Mon, Nov  7 '16 at 6:12AM EST",oakbark,"Where exactly does your back hurt? Is it the lower back, in the middle or on a side? And only at night?

Where doe your tummy hurt? Any other GIT symptoms, like stomach distension (bloating) or loose stools?

Do you urinate during a day a lot (excessive urination)?
Here are some causes listed:
 http://nutrientresearch.edublogs.org/2016/08/22/polyuria-mechanism/",0,1,32 years old
10,1,YES,"Wed, Aug  12 '15 at 9:01AM EDT",klosk,"I'm new to this site, so please forgive me if there are posts on this already.  I am a 36 year old male who for the last few years has experienced increasingly severe nighttime enuresis, overactive bladder and frequent urination during the day, and now whenever I achieve an erection I start urinating uncontrollably and sometimes cannot orgasm.  

I have been to 4 or 5 different urologists, 3 neurosurgeons (one of which diagnosed me with spinal stenosis) and ultimately decided to have a lumbar laminectomy last December to try to relieve symptoms.  The spinal surgery did not work, and now I am more despondent than ever facing a life of this hell. 

Nothing has worked, and I am increasingly depressed that there is no cure to my condition.  My sleeping habits are horrible, I wet the bed EVERY single night, and my marriage is on thin ice because of all the problems.  I cannot exercise because the jarring movement of running and even an elliptical machine causes me to have to go to the bathroom. 

I am curious - does anyone out there have these same problems.  I refuse to believe I am the only person who is under 40 with this condition.  I need help.",0,1,36 Year Old Male - daily nighttime enuresis.
52,2,NO,"Wed, Aug  12 '15 at 4:39PM EDT",NAFC,"Klosk-- We can't imagine this was an easy story to tell. Glad you shared your experience here. It looks like you've done everything you need to do as far as seeking medical help. 

It can only be assumed that your dietary and liquid intake habits are as needed: low-no caffeine, little acid, plenty of water, etc. 

Your exact situation has not been shared in the same way, but if you review other threads, you'll notice stories and outreach from other men your age. People are very responsive on here and will likely share some wisdom and support as they come back on the site and see this new thread. Hold tight!",0,1,36 Year Old Male - daily nighttime enuresis.
76,3,NO,"Wed, Oct  21 '15 at 11:20AM EDT",Patrick,"Although my problems are not the same, they are similar.  My neurogenic incontinence caused excruciating pain.  This was relieved by Botox injections; however, the benefit of those treatments wore off after successively shorter intervals, when the pain returned.  The solution, for me, was a urinary sphincterotomy.  With no valve between my bladder and the outside, I leak continually.  However, the pain is gone, so I am not complaining.  I wear diapers 24/7, keep myself as clean and odor-free as possible, make myself useful around the house, including doing laundry and cooking, and work hard to manage my incontinence so as to minimize its imposition on my spouse and family.",0,1,36 Year Old Male - daily nighttime enuresis.
1,1,YES,"Fri, Feb  17 '17 at 11:09AM EST",amy,"i was diagnosed like 6 months ago but ive been having bladder control issues since mu early 20's. i went to physical therapy and graduated. then i went back to the doc because my symptoms have not improved and the pain is almost intolerable sometimes....and they wont do surgery and say i may never have surgery. i am being fitted for a pessary on Monday. i am so scared. this has already affected my life 100%. i havent had sex since September, i had to quit my job on sunday(waitress)because i was in so much pain and just plain uncomfortable all the time. it feels like i just had a baby...all the time. i cannot imagine living life comfortable again. im terrified, panicking all day long. is surgery a bad choice...i dont know why they r so hesitant. ""my bladder is dropping but my muscles are working perfectly...surgery will increase ur pain. this pain cant be from the prolapse"" where r my answers. how is my life gunna improve with a pessary? please help me i dont know anyone who has been through this and i am so scared. thanx",0,1,38 with a prolapse bladder.....
1,2,NO,"Fri, Feb  17 '17 at 1:34PM EST",Janlol,"I was fitted with a mesh sling for a prolapsed bladder. Prior to that I wore a pessary for a short time which was not horrible. I prefer the surgery, because I have had not one problem after the surgery. I had a hysterectomy at the same time, but my surgery was when I was 63, so appropriate.  All done from within. No scars.

I would get a second and third opinion if you are unhappy.

Good luck and hang in there.",0,1,38 with a prolapse bladder.....
4,1,YES,"Sat, Jul  8 '17 at 1:30PM EDT",Cheryl,Diagnosed at 62 with retention issue. Currently having to self cath. Has anyone had interstem device put in sacral area for condition?  Any medicines for bladder strength loss?  Biofeedback for pelvic floor issues which may help?  Cathing 6 times daily cannot void unless over 500 ml then only void about 200 ml and voiding stops. Help!,1,1,62 Female diagnosed with urinary retention l
37,2,NO,"Mon, Jul  10 '17 at 7:06PM EDT",anita,"Hi Cheryl,
I have had an Interstim device for 7 years and would not go without it.  I have Over active bladder and the device keeps my bladder on an even note. (It is so care free, that when I check it, it has been so long that I have to change the batteries on the programmer.)  If you decide to go that route, the doctor will implant a temporary device with leads for two weeks to see if it is right for you.  For me, it has meant not taking any more meds for urinary issues.
Good luck, 
Keep us posted!
Anita",0,1,62 Female diagnosed with urinary retention l
10,3,NO,"Wed, Sep  13 '17 at 7:14AM EDT",leaky,"I have retention and loss of  sensation with both urge and stress Incontinence and I was dribbling in between.
Oxybutnin makes urge incontinence worse for me. 
My pessary helps. It has stopped in between dribbles completely.
Biofeedback does help. In a few short sessions you can learn to lower your blood pressure so that your kidney function is better which is part of this, gain muscle control for in between toilet trips, and learn to relax away stress causing more natural release while on the throne which can reduce urge surges.
An OMRI TENS massaging unit from the local 24/hour drugstore and probably available online placed externally on the anterior over the bladder turned on low between trips helps hold and tone in between visits to the toilet. 
No caffeine and sip instead of whole glass all at once fluid intake.
Timed two hour toilet trips or immediately after my afternoon fluid intake which I monitor to prevent urge surges and
when on the throne turn off OMRI, turn on faucet, a heat pack placed anteriorly over the abdominal area to help relax instead of stressing about going to the bathroom and deep breathing exercises while on the throne help to release then double void because some will drop after the first release and then cath for releasing residual urine. 

Interstim is out for me due to a lower back muscle injury and hips that are an inch difference in height plus head injuries. 
Pads and Diapers of course. 
Now I don't dribble in between at all since the pessary was put in and before I was dribbling in between.",0,1,62 Female diagnosed with urinary retention l
76,1,YES,"Wed, May  18 '16 at 9:26PM EDT",inconninmiss,"I have severe urge incontinence which I have managed for a number of years by wearing a diaper 24/7. I'm going to be having surgery for an inguinal hernia in a couple of weeks. The surgeon has told me that after the surgery I might just continue wearing my diaper but possibly change more often than usual; or he could insert a Foley catheter for me to wear until I go in for my post-op checkup a couple of weeks after the surgery. I hate using a Foley catheter and am concerned about the danger of getting a urinary tract infection from wearing one for so long. I would much prefer to continue wearing my diaper, but I'm concerned that exposing the incision to urine might cause an infection. Has anyone had experience with this kind of situation? If so, what did you do and what was the outcome?",0,1,Abdominal surgery and diaper wearing
37,2,NO,"Wed, May  18 '16 at 11:32PM EDT",anita,"I had surgery and had to wear a foley Cath for two weeks.  I kept it clean and drained, and it went well.  I don't think the likely hood of infection is high in a normal home setting.
Good luck!",0,1,Abdominal surgery and diaper wearing
82,3,NO,"Wed, May  18 '16 at 11:33PM EDT",NoCans,"Have you considered an external catheter until you heal? I don't care for Foleys, and I don't really like external catheters either...but that might be the lesser of two evils in a short term scenario. I see the Liberty Med Ads all the time; maybe try them.",0,1,Abdominal surgery and diaper wearing
76,4,NO,"Tue, Jun  28 '16 at 11:33PM EDT",inconninmiss,"I had the surgery on June 8. I took NoCans' advice and bought and tried out an external catheter beforehand. However, my surgeon ended up telling me that it would be OK to keep on wearing my diaper afterward. So that's what I've done. Everything has been fine. No signs of any infection.",0,1,Abdominal surgery and diaper wearing
4,1,YES,"Sat, Jul  23 '16 at 7:53AM EDT",joepizzulo,I'm desperately in search of a diaper that will keep my clothes and bed dry. any suggestions. 34 yr old male. very heavy wetter,1,1,absorbent diapers
16,2,NO,"Sat, Jul  23 '16 at 8:26AM EDT",nwyenko,"I also have been trying various diapers. I am almost totally incontinent after a radical prostectomy and radiation. The best I have found for nighttime is ""Confidry 24/7"". Somewhat bulky but with great absorbency. When I was on a catheter I was dispensing almost 2000 milliters at night. Jim",2,1,absorbent diapers
7,3,NO,"Sat, Jul  23 '16 at 8:50AM EDT",Damp,"When at home, I use thick cloth diapers with plastic/PUL pants.  They are comfortable and absorb moisture more evenly throughout the diaper. There are numerous websites that offer these products. Adult Cloth Diaper, Changing Times, Babykins(they carry adult products as well).  Do a google search, and you will find a lot more.  I also use disposables when traveling from Bambinos.  They seem to cater to the ADBL crowd, but there products are excellent.  If you can ignore the designs on some of their diapers, they work well.  They also carry a number of all white diapers that I prefer.",2,1,absorbent diapers
19,4,NO,"Sat, Jul  23 '16 at 9:14AM EDT",Boopa0586,"Hey man, I'm 29. I'd say that the Dry 24/7 and North Shore Supreme are the most absorbent medical diapers out there right now. Followed by Abena and Molicare. 

I alternate between the 24/7 and North Shores myself. I rarely have any leaks and usually wake to a 3/4 full diaper.",0,1,absorbent diapers
10,5,NO,"Sat, Jul  23 '16 at 9:34AM EDT",Danman,"I agree with Boopa0586 about the quality diapers, though you may want to add an insert if those diapers are not absorbent enough for you. My go to choice at night is the North Shore Supreme with an insert and plastic pants. I've experimented successfully with cloth but I find them too labor intensive.",0,1,absorbent diapers
13,6,NO,"Sat, Jul  23 '16 at 9:57AM EDT",AtlantaGuy41,"I'm 44, male, and a very heavy wetter. I find Abena to work well. I wear M2 during the day and M4 to bed. 
I have zero control and have been happy with these.",1,1,absorbent diapers
76,7,NO,"Sat, Jul  23 '16 at 11:15AM EDT",Patrick,"I wear washables and plastic pants when I'm at home, disposables when I travel.",0,1,absorbent diapers
4,8,NO,"Sat, Jul  23 '16 at 11:17AM EDT",JWT,I am also a heavy wetter at night.  I use the 24/7 brand at night and tranquility atn's during the day.  Had no problems with leaks at all.,0,1,absorbent diapers
82,9,NO,"Sat, Jul  23 '16 at 5:19PM EDT",andy1050,"All of the above appear to be very good suggestions! Don't forget, you can always add booster pads (inserts) to increase capacity at night or even in the day.

Take a look at the chart to compare the top brands of adult disposables in this link:

 http://www.xpmedical.com/dtest.html",0,1,absorbent diapers
19,10,NO,"Sat, Jul  23 '16 at 6:12PM EDT",Boopa0586,"I just want to add, especially for the OP, and all other posters as well...the biggest thing is that we don't feel any shame or embarrassment in using protection. 

We all have issues that we don't want or need...but still have regardless. 

The whole trick is to not dwell and beat ourselves up. We choose to manage our issues with various types of protection. 

Groups/forums like this one are some of the best places around for us to find support and comfort. 

Just know...we're here for you, whoever you are.",2,1,absorbent diapers
76,11,NO,"Sat, Jul  23 '16 at 8:36PM EDT",Patrick,"When I'm at home I wear heavy washable protection, especially at night; I wear disposable protection when I travel.",0,1,absorbent diapers
31,12,NO,"Tue, Aug  2 '16 at 9:26AM EDT",Daco4,"I agree for heavy wetting thick cloth diapers with plastic pants work best, especially overnight.",0,1,absorbent diapers
10,13,NO,"Tue, Aug  2 '16 at 10:13AM EDT",Danman,"While I agree with the principle, cloth involves a lot of work and the initial cost is steep.",0,1,absorbent diapers
4,14,NO,"Sat, Aug  6 '16 at 4:20PM EDT",Joey2000,"The Northshore Air Supreme and the Abena L4 are best for me.
I have no control. I also use the Suprima plastic pants to hold up the diaper and reduce leaking and odor. I find that using a plastic backed diaper and plastic pants is redundant and using the soft cloth backed diapers are cooler in the summer.

 http://www.northshorecare.com/diapers/overnites1/northshore-airsupreme-briefs.html

 http://www.b4ns.com/index.php?PageType=Product&Supplier=Suprima&ProductLine=VinylPants&Product=S1249",0,1,absorbent diapers
16,15,NO,"Sat, Aug  6 '16 at 5:23PM EDT",nwyenko,I have spent a lot of time trying samples. I have found the ConfiDry 24/7 for night under Gary pants. I am able to make it all night with it being full in the morning. During the day  I wear Northshore flex supreme pull on with Gary pant. I have found it to be comfortable and very absorbent. Next I am going to try a booster pad in the pullons. Gary pant is great for stopping leakage.,0,1,absorbent diapers
103,16,NO,"Wed, Aug  10 '16 at 7:58PM EDT",MikeJames,"I'm new to bedwetting, or at least regular heavy bedwetting. Some one on another forum recommended Abena level 4 aka xplus.  I've been in them for a week now and my bed has stayed totally dry despite my bladder's best efforts to the contrary.",0,1,absorbent diapers
4,17,NO,"Wed, Aug  10 '16 at 8:03PM EDT",JWT,They are one of the top brand on the market.  I've used them and I also use Dry 24/7,0,1,absorbent diapers
85,1,YES,"Thu, Dec  17 '15 at 1:45AM EST",Benfrank,"I'm 27 years old and have had incontinence on and off for my entire life. Since being diagnosed with MS this summer my bladder control has been pretty awful among other symptoms. It seems like every health care provider wants to ""correct""'this. I am at the point now that I am so over treatments and medications for everything and so have decided to completely accept wearing diapers 24/7",2,1,Adult diapers
1,2,NO,"Thu, Dec  17 '15 at 3:07AM EST",Tharun,"Hi Ben!

This is my first forum post and I have had incontinence for my entire life and it happens almost daily. I am 20 years old now and my parents are worried about my future. I got used to this and I don't feel bad about it anymore  I feel its better not to use all those treatments and medications available outside as they also have side effects and don't feel bad at all about using diapers 24/7 

Regards,
Tharun",0,1,Adult diapers
4,3,NO,"Thu, Dec  17 '15 at 11:26AM EST",Nazsnaz,"I've been wearing diapers for most of my life without much problem.  As long as you don't mind always having a diaper bag with you and are able to change when needed.  Occasional leaks will happen, but if you use cloth diapers with rubber or plastic pants it will be less than with disposable diapers.  I am both urinary and bowel incontinent and use chlorophyll tablets to help with odors.  The bulk of cloth diapers may make you think everyone will notice, but rarely has that ever been a problem.  Disposables (use only the most absorbent) will ""plump"" up when wet but they are handy while out and about.  I use a cloth snap on diaper cover when I wear disposables.  It does make it bulkier but they help with leaks.",0,1,Adult diapers
4,4,NO,"Thu, Dec  17 '15 at 4:00PM EST",nvbob,"I've had bed wetting problems since I was 14 and that was back when they didn't have disposables.   I was able to use Birdseye cloth 21 X 40 pin on diapers with Gerber Toddler size slip on pants until I was 16.   Of course the doctors thought it was a phase and I would grow out of it sooner or later.   

At 16 I had to start purchasing diapers from the Sears Catalog, and medical supply stores.  That was the first time I had to deal with the issue outside of the house other than the doctors office.  At that age, I was mortified to walk into a medical supply store and ask for diapers.   The one person that helped me the most was a middle aged lady that worked at the medical supply store in San Jose, CA.   She told me I should consider myself lucky that I didn't have to wear them full time like many of her customers.   It did help to know that I was not the only one, but there was also other younger people that had continence problems.

When I turned 19 and I had not grown out of it, I moved to another state, got a job, and started a new life.   Being on your own for the first time in a new place is stressful, and I had to work 6 and 7 days a week to pay for rent and a car.   After 5 years of dealing with night problems, it became the norm for me.  I actually got up the nerve to call a diaper service to see if they had anything for adults.  At that time disposables were still not available, and I found out I could get adult diapers delivered to my apartment.   Very cheap, no more laundry, and they even supplied a diaper pail. They did not supply plastic pants, but they did laundry them.

Acceptance is a gradual thing.   Anyone new to incontinence issues, the one piece of advice is be patient it gets easier.

Skipping forward to now (many years), I began to have problems during the day.   That scared the heck out of me.   No longer an in house issue to deal with, it had invaded my life.  After many trips to the doctor, visits to a Urologist, they decided to do a urodynamic study may help with the determining the cause, and hopefully finding a solution.

It was the most embarrassing doctors visit ever.   I won't go into details, but after removing a disposable diaper in front of a female technician, they inserted catheters and wires all over.  

The results demonstrated that I had a low capacity bladder with uninhibited bladder contractions.  One medication after another and some with side effects that were not pleasant.

I have been using diapers full time for the last 3 years.  I sympathize with anyone new to incontinence, as it has been a life changing event.   However, the good news is that it has gotten much easier. I have learned to deal with all aspects of it; even the most difficult issues like carrying a special computer bag (my diaper bag), changing in public restrooms, and even the occasional situation where my diaper is accidentally exposed (the most horrifying).

I order my products online now, and I am very thankful for several reasons.   First they are a ton of great products out there.  Disposables that are safe, cloth and high quality plastic pants, but the one thing that did the most good was talking to one of the sales people at one of the leading adult cloth diaper stores.  She said, you are lucky, you only have urinary problems.  

Acceptance is a great thing. It has taken years, but I am no longer embarrassed about incontinence and wearing diapers.  I sure as heck don't advertise it or bring it up in everyday conversations with people.   I will say that I have become very comfortable wearing diapers, and I am very pleased that I can afford the best products and for the most part, not many have any clue that I am diapered day and night.

I did not mean to rant, but I hope some of the experiences I have spoke about might possibly help the person that has been tossed into situation where they need to wear diapers.
  
",0,1,Adult diapers
76,5,NO,"Thu, Dec  17 '15 at 8:09PM EST",Patrick,"Although incontinence certainly is life changing, it does not need to be a greater challenge than it is.  I wear heavy diapers 24/7, and have for years.  I pack a medium size gym bag with me at all times when I'm out and about, and I keep track of all the handicapped restrooms on my usual haunts.  And I use them as necessary.

More worrisome to me is having bi-lateral (both inner ears) Meniere's disease and a brain injury.  Together they make me walk like a drunk, fall occasionally, and, when vertigo makes my world spin out of control so badly that I cannot keep food down, Meniere's makes me forget that I'm wearing protection.",0,1,Adult diapers
76,6,NO,"Fri, Dec  18 '15 at 4:11PM EST",inconninmiss,"Benfrank, I agree with your decision not to try the meds and rely on protection instead. I have urge incontinence and have been in diapers 24/7/365 for 25 years or so. A few years ago, my urologist tried me on six different drugs for urge incontinenc, one drag after another for six months on each drug. None of them had much effect on my incontinece, and five of them caused unpleasant side effects. After that, I decided to give up on meds and just be happy in diapers.

I prefer diapers, but another possible solution for a man is an external catheter, with a condomlike thing that adheres to the penis and a tube connected to a bag strapped to the leg. I have tried such devices; and as I said, I much prefer diapers. However, many men use external catheters and swear by them. It's an alternative you might want to consider.",0,1,Adult diapers
4,7,NO,"Sat, Aug  6 '16 at 4:40PM EDT",Joey2000,"Hi Ben, I understand where you are coming from. The poking, the proding the cystos, the catheters. Diapers are the right way. The medical profession does not view incontinence from the patients view.....they want to operate, cut and repair things regardless of the outcome. Stick with diapers and maybe plastic pants too along with a good mattress protector.",1,1,Adult diapers
1,1,YES,"Tue, Mar  29 '16 at 10:09AM EDT",KBKid,"I'm looking for some info to help my dad, and I appreciate all that you have shared in this forum. My dad lives in a skilled nursing facility, suffers from dementia, congestive heart failure  and has a lot of knee pain from arthritis, so standing is often not an option for him anymore.Incontinence became an issue after surgery for colo-rectal cancer, and then the dementia also made it worse. (Up many times a night to use the bathroom.)

Incontinence has a great impact on Dad's quality of life because he becomes agitated when aides attempt personal cares on him. He also has ""sundowning"" behavior, where his night and day can become mixed up, so he doesn't sleep well at night.

One thing about living in a nursing home when you have complete incontinence, is that the night shift will wake you to check if you need a change before they go off shift, in the interest of protecting your skin from rashes.

My question (finally!)is: is there a diaper or product that is super-absorbent enough for overnight use, that would wick away the moisture from the skin so you can wear it a little longer (and not have to be wakened from a deep sleep, which triggers agitation?)

Also, are you aware of any easier product to use for overnight (from a changing standpoint) than the traditional side-tab diapers? Getting him to roll to the side when he's sleepy and agitated doesn't make for a good experience.

I would appreciate any suggestions anyone might have. Thanks so much for sharing.",0,1,advice to help a parent
85,2,NO,"Tue, Mar  29 '16 at 10:14AM EDT",Benfrank,I think the tab style are the best bet for changing. I'm sorry to hear that everything is so complicated for him that is very sad. As for diapers the Abena Abriform M4 are pretty choice for long use!,0,1,advice to help a parent
4,3,NO,"Tue, Mar  29 '16 at 10:47AM EDT",pharmec,"It might be helpful to make sure he urinates right before going to bed.  Check the room temperature for either being too hot or too cold.

This issue is a challenge.",0,1,advice to help a parent
76,4,NO,"Tue, Mar  29 '16 at 11:22AM EDT",Patrick,"Where I live, the regulations on the care of nursing home residents dictate that incontinent residents should be changed every two hours.  For this reason, nursing homes here use the cheapest disposable diapers available.  Disposable diapers with enough capacity to last all night are more expensive.  If you are allowed to supply your own diapers for him, you might consider Dry 24/7, Molicare and Abena.  Good luck.",0,1,advice to help a parent
1,5,NO,"Wed, Mar  30 '16 at 10:05AM EDT",bqmedical,"Regulations for Nursing Care and Incontinence Products vary from state to state.  Generally, the NH will provide the diaper or pull on and have them on a schedule (especially with pts with dementia).  The state pays for the products and provides the most appropriate product at the most cost effective pricing.  This is not always the best, most absorbent product due to the pricing.  Check with your facility and see if you are allowed to provide more absorbent products for your Dad.  There are many better options out there for overnight and yes, a brief with tabs is a better option if nurses are going to be changing him themselves.  TENA makes some very absorbent overnight briefs and pads which many of my customers have found effective.  Again, this is just a general answer.  Check with your area office on aging and facility for their exact policies.  Good Luck",0,1,advice to help a parent
4,6,NO,"Wed, Jul  6 '16 at 1:13PM EDT",Bonnie,"Hi, I would appreciate advice on this issue. My mother is a 91 year-old resident in a long term care facility. She is not ambulatory. Although she usually knows when she has to urinate or defecate, it is not practical or easy to attend to her immediate needs. Therefore, diapers are used.

I was horrified last weekend to observe that the cleanser being used daily is the ""liquid soap"" that is found in the bathroom dispenser of the nursing home. Although my mother has never suffered from any kind of skin rashes before and has never had any skin blistering, this has been an ongoing concern at this particular facility.

My sense is that the ""soap"" that is being used to clean her is actually too strong for her skin and is causing dryness and itching. 

I need advice on what kind of cleanser to purchase for her care so that the caregivers can clean her personal areas well without causing skin break-downs.  I know that there are many products available at drug stores, etc. I just do not know which one may be best.

I hope that someone will be able to suggest something appropriate for her care.  Thank you!",0,1,advice to help a parent
76,7,NO,"Wed, Jul  6 '16 at 7:10PM EDT",Patrick,Ask a dermatologist.  There are many products advertised for incontinent cleansing.  Good luck.,0,1,advice to help a parent
4,8,NO,"Tue, Aug  16 '16 at 1:23PM EDT",Bonnie,"Thanks to all who respond. I did end up buying Aloevestra to be used at the nursing home on my mother who is bedridden and also has incontinence.

Despite ongoing conversations with the CNAs, nurses, and even the nursing home administration, my mother is not being changed every two hours and probably not even every FOUR hours. This is shocking to me because everything I have read about residential care says that patients should be checked for wetness on a two hour rotation.  

So my new question is:  Is there an adult diaper for females that is more absorbent and will wick away the moisture from her skin to help prevent any skin breakdowns.  We are currently using Aloevestra for cleansing and a barrier cream 3 times a day. I would appreciate any advice anyone can give.  Thanks.",0,1,advice to help a parent
85,9,NO,"Tue, Aug  16 '16 at 2:48PM EDT",Benfrank,I would recomend the Abena M4 or Confidry 24/7 both are excellent and can take several wettings without skin problems,1,1,advice to help a parent
4,10,NO,"Tue, Aug  16 '16 at 6:04PM EDT",Bonnie,"Thanks, Benfrank.  Appreciate your help.",0,1,advice to help a parent
1,11,NO,"Tue, Nov  1 '16 at 6:14PM EDT",formom,"My mother has been living with me for over a year now...she has Alzheimer's, controlled diabetes, bad knees with slow mobility. Think she has nocturia? Doc said she doesn't have congestive heartfailure, but once she lays down at night she urinates almost constantly. She may not urinate much during day at daycare, and sometimes wakes up on her own and wants to go to the bathroom, but she is sleeping longer now, and I set alarms during the night wake her and take her to toilet and change pullups. We get pullups from a company that Medi-Cal uses to support low income seniors. I put two on her now at once in case it is heavy. they aren't real wide so when soaked they leak. I sometimes get Depends Overnight and they absorb well, but cannot afford to use only those...we go through so many. I will look into Peapods Mats, as we change the sheet 3-4 times a week from leakage. I have not had any problems with skin irritation. Maybe because a pull up is never on her more than 5 hours. I clean her up with no-rinse foam and baby wipes. Are the Abena M4 and Confidry expensive?",0,1,advice to help a parent
