Problem/Soltuion,Number,hkroger,snehal,eschare,# Category, Category
Problem,62,1,1,1,9a,Doctors and Nursing Homes
Solution,62.1,*,*,*,*,*
Problem,63,1,0,1,6h,Symptoms
Solution,63.1,1,0,1,3a,Caregiver Wellbeing
Problem,64,*,*,*,*,*
Solution,64.1,0,1,1,5a,Doctor Consultations
Problem,65,*,*,*,*,*
Solution,65.1,*,*,*,*,*
Problem,66,1,1,0,6k,Symptoms
Solution,66.1,1,1,1,2a,Info Sources
Solution,66.2,1,1,0,3c,Caregiver Wellbeing
Problem,67,1,1,0,6m,Symptoms
Solution,67.1,1,0,1,2a,Info Sources
Problem,68,1,1,1,6c,Symptoms
Solution,68.1,1,1,0,3c,Caregiver Wellbeing
Solution,68.2,1,1,1,3c,Caregiver Wellbeing
Solution,68.3,1,1,0,3c,Caregiver Wellbeing
Solution,68.4,1,0,1,2a,Info Sources
Solution,68.5,1,1,1,3c,Caregiver Wellbeing
Problem,69,1,0,1,3a,Basic Hygiene
Solution,69.1,1,1,1,3c,Caregiver Wellbeing
Solution,69.2,1,1,0,3c,Caregiver Wellbeing
Solution,69.3,1,1,1,4a,Strategies to handle the patient
Solution,69.4,*,*,*,*,*
Problem,70,0,1,1,2d,Conflicts
Solution,70.1,1,0,1,3a,Caregiver Wellbeing
Solution,70.2,1,1,1,7a,Safety
Solution,70.3,1,1,0,1f,Contact Professional For Assitance
Solution,70.4,*,*,*,*,*
Problem,71,1,1,0,2c,Conflicts
Solution,71.1,0,1,1,4e,Strategies to handle the patient
Problem,72,0,1,1,2d,Conflicts
Solution,72.1,0,1,1,3d,Caregiver Wellbeing
Solution,72.2,1,1,0,3c,Caregiver Wellbeing
Solution,72.3,0,1,1,4d,Strategies to handle the patient
Solution,72.4,*,*,*,*,*
Problem,73,1,1,0,6n,Symptoms
Solution,73.1,1,0,1,3a,Caregiver Wellbeing
Solution,73.2,1,1,0,3a,Caregiver Wellbeing
Problem,74,1,1,1,2a,Conflicts
Solution,74.1,0,1,1,8e,Home Care/Nursing Homes
Problem,75,1,1,1,6e,Symptoms
Solution,75.1,1,1,1,3c,Caregiver Wellbeing
Solution,75.2,1,0,1,2a,Info Sources
Problem,76,*,*,*,*,*
Solution,76.1,1,1,1,8b,Home Care/Nursing Homes
Problem,77,0,1,1,2d,Conflicts
Solution,77.1,1,0,1,8c,Home Care/Nursing Homes
Problem,78,1,1,1,6n,Symptoms
Solution,78.1,*,*,*,*,*
Problem,79,1,0,1,6b,Symptoms
Solution,79.1,1,1,0,3c,Caregiver Wellbeing
Solution,79.2,1,1,1,2a,Info Sources
Problem,80,1,1,1,3a,Basic Hygiene
Solution,80.1,1,1,1,4a,Strategies to handle the patient
Solution,80.2,1,1,0,2a,Info Sources
Problem,81,*,*,*,*,*
Solution,81.1,1,1,1,1a,Contact Professional For Assitance
Problem,82,*,*,*,*,*
Solution,82.1,1,1,1,1d,Contact Professional For Assitance
Problem,83,1,1,1,6n,Symptoms
Solution,83.1,1,1,0,3c,Caregiver Wellbeing
Solution,83.2,1,1,1,3a,Caregiver Wellbeing
Solution,83.3,1,1,1,2a,Info Sources
Problem,84,1,1,0,10a,General Information
Solution,84.1,1,1,1,2a,Info Sources
Problem,85,1,1,1,9h,Doctors and Nursing Homes
Solution,85.1,0,1,1,4b,Strategies to handle the patient
Problem,86,1,1,1,4a,Medicines
Solution,86.1,1,1,1,2a,Info Sources
Problem,87,0,1,1,5e,Legal Financial
Solution,87.1,1,0,1,1d,Contact Professional For Assitance
Problem,88,1,1,0,9f,Doctors and Nursing Homes
Solution,88.1,1,1,0,3a,Caregiver Wellbeing
Problem,89,1,1,0,8f,Ethics
Solution,89.1,1,1,1,3a,Caregiver Wellbeing
Problem,90,*,*,*,*,*
Problem,91,1,1,1,2d,Conflicts
Solution,91.1,*,*,*,*,*
Problem,92,0,1,1,2c,Conflicts
Solution,92.1,*,*,*,*,*
Problem,93,1,1,1,9a,Doctors and Nursing Homes
Problem,94,1,1,1,9e,Doctors and Nursing Homes
Solution,94.1,1,1,1,1c,Contact Professional For Assitance
Problem,95,0,1,1,6f,Symptoms
Solution,95.1,1,1,0,4f,Strategies to handle the patient
Problem,96,*,*,*,*,*
Solution,96.1,1,0,1,2a,Info Sources
Problem,97,1,1,1,7d,Physical Saftey
Solution,97.1,1,1,1,2a,Info Sources
Problem,98,*,*,*,*,*
Solution,98.1,1,1,0,3c,Caregiver Wellbeing
Solution,98.2,1,1,1,1a,Contact Professional For Assitance
Problem,99,1,1,0,11a,Solutions
Problem,100,1,1,1,6c,Symptoms
Solution,100.1,0,1,1,3c,Caregiver Wellbeing
Solution,100.2,1,1,0,2a,Info Sources
Problem,101,1,0,1,7c,Physical Saftey
Solution,101.1,1,0,1,7a,Safety
Solution,101.2,1,0,1,7a,Safety
Problem,102,0,1,1,6l,Symptoms
Solution,102.1,1,0,1,2a,Info Sources
Problem,103,1,1,1,2a,Conflicts
Solution,103.1,1,1,1,3a,Caregiver Wellbeing
Solution,103.2,1,1,0,3a,Caregiver Wellbeing
Solution,103.3,1,1,0,3a,Caregiver Wellbeing
Problem,104,1,1,1,2d,Conflicts
Solution,104.1,*,*,*,*,*
Problem,105,1,1,1,2d,Conflicts
Solution,105.1,1,1,1,2a,Info Sources
Problem,106,0,1,1,9g,Doctors and Nursing Homes
Solution,106.1,*,*,*,*,*
Problem,107,1,1,1,9a,Doctors and Nursing Homes
Solution,107.1,1,1,1,1a,Contact Professional For Assitance
Problem,108,1,0,1,10Other,General Information
Solution,108.1,0,1,1,2a,Info Sources
Problem,109,*,*,*,*,*
Solution,109.1,*,*,*,*,*
Solution,109.2,1,1,1,5a,Doctor Consultations
Problem,110,1,0,1,7c,Physical Saftey
Problem,111,1,1,1,6k,Symptoms
Solution,111.1,1,1,1,2a,Info Sources
Solution,111.2,1,1,1,2a,Info Sources
Problem,112,*,*,*,*,*
Solution,112.1,1,1,1,1a,Contact Professional For Assitance
Problem,113,*,*,*,*,*
Solution,113.1,*,*,*,*,*
Problem,114,1,1,1,6f,Symptoms
Solution,114.1,1,1,1,4f,Strategies to handle the patient
Problem,115,*,*,*,*,*
Solution,115.1,*,*,*,*,*
Problem,116,1,1,0,6c,Symptoms
Solution,116.1,1,0,1,1a,Contact Professional For Assitance
Problem,117,1,1,1,6f,Symptoms
Solution,117.1,0,1,1,3b,Caregiver Wellbeing
Problem,118,*,*,*,*,*
Solution,118.1,1,1,1,2a,Info Sources
Solution,118.2,*,*,*,*,*
Problem,119,*,*,*,*,*
Solution,119.1,*,*,*,*,*
Problem,120,1,0,1,9e,Doctors and Nursing Homes
Solution,120.1,1,1,1,1a,Contact Professional For Assitance
Problem,121,*,*,*,*,*
Solution,121.1,1,1,1,2a,Info Sources
Problem,122,1,1,0,6f,Symptoms
Solution,122.1,1,1,0,4d,Strategies to handle the patient
Solution,122.2,1,0,1,2a,Info Sources
Problem,123,1,1,1,7d,Physical Saftey
Solution,123.1,*,*,*,*,*
Problem,124,0,1,1,9e,Doctors and Nursing Homes
Solution,124.1,0,1,1,3a,Caregiver Wellbeing
Solution,124.2,1,1,1,1c,Contact Professional For Assitance
Problem,125,1,1,0,5e,Legal Financial
Solution,125.1,1,1,1,1d,Contact Professional For Assitance
Problem,126,1,1,1,4b,Medicines
Solution,126.1,1,1,0,3c,Caregiver Wellbeing
Solution,126.2,1,1,0,3c,Caregiver Wellbeing
Solution,126.3,1,1,0,3c,Caregiver Wellbeing
Solution,126.4,1,1,0,3c,Caregiver Wellbeing
Solution,126.5,1,1,1,5a,Doctor Consultations
Problem,127,1,1,0,6f,Symptoms
Solution,127.1,*,*,*,*,*
Problem,128,*,*,*,*,*
Solution,128.1,1,1,1,2a,Info Sources
Problem,129,1,1,0,5e,Legal Financial
Solution,129.1,1,1,1,3c,Caregiver Wellbeing
Solution,129.2,1,0,1,1d,Contact Professional For Assitance
Problem,130,1,1,1,2d,Conflicts
Solution,130.1,*,*,*,*,*
Solution,130.2,0,1,1,4b,Strategies to handle the patient
Problem,131,0,1,1,6a,Symptoms
Solution,131.1,0,1,1,5d,Doctor Consultations
Solution,131.2,0,1,1,4b,Strategies to handle the patient
Problem,132,*,*,*,*,*
Solution,132.1,1,1,1,8c,Home Care/Nursing Homes
Solution,132.2,0,1,1,1e,Contact Professional For Assitance
Problem,133,*,*,*,*,*
Solution,133.1,1,0,1,3a,Caregiver Wellbeing
Solution,133.2,0,1,1,1c,Contact Professional For Assitance
Problem,134,*,*,*,*,*
Solution,134.1,*,*,*,*,*
Problem,135,1,1,0,5a,Legal Financial
Solution,135.1,1,0,1,1a,Contact Professional For Assitance
Problem,136,1,1,1,7d,Physical Saftey
Solution,136.1,1,1,1,2a,Info Sources
Problem,137,1,1,1,1a,Emotions of the Care Giver
Solution,137.1,1,1,1,1d,Contact Professional For Assitance
Solution,137.2,*,*,*,*,*
Problem,138,1,0,1,2d,Conflicts
Problem,139,0,1,1,6a,Symptoms
Solution,139.1,1,0,1,2a,Info Sources
Solution,139.2,*,*,*,*,*
Problem,140,0,1,1,6f,Symptoms
Solution,140.1,*,*,*,*,*
Problem,141,1,1,1,6d,Symptoms
Solution,141.1,*,*,*,*,*
Solution,141.2,1,1,1,2a,Info Sources
Problem,142,*,*,*,*,*
Solution,142.1,1,1,1,3a,Caregiver Wellbeing
Problem,143,0,1,1,1c,Emotions of the Care Giver
Solution,143.1,1,1,0,3a,Caregiver Wellbeing
Problem,144,1,1,1,9a,Doctors and Nursing Homes
Solution,144.1,1,0,1,1a,Contact Professional For Assitance
Problem,145,1,0,1,10a,General Information
Solution,145.1,1,1,1,2a,Info Sources
Problem,146,1,0,1,9e,Doctors and Nursing Homes
Solution,146.1,0,1,1,3a,Caregiver Wellbeing
Problem,147,1,0,1,6j,Symptoms
Solution,147.1,*,*,*,*,*
Solution,147.2,1,1,1,4b,Strategies to handle the patient
Problem,148,1,1,0,6e,Symptoms
Solution,148.1,1,1,1,5a,Doctor Consultations
Problem,149,1,0,1,6n,Symptoms
Solution,149.1,*,*,*,*,*
Problem,150,1,1,0,9h,Doctors and Nursing Homes
Solution,150.1,0,1,1,4d,Strategies to handle the patient
Problem,151,1,0,1,6k,Symptoms
Solution,151.1,1,1,0,3a,Caregiver Wellbeing
Problem,152,1,0,1,3g,Basic Hygiene
Problem,153,1,1,1,6h,Symptoms
Solution,153.1,1,1,1,3a,Caregiver Wellbeing
Problem,154,1,1,1,6e,Symptoms
Solution,154.1,1,1,0,2a,Info Sources
Problem,155,1,0,1,6k,Symptoms
Solution,155.1,1,1,1,4b,Strategies to handle the patient
Problem,156,0,1,1,8c,Ethics
Solution,156.1,*,*,*,*,*
Solution,156.2,1,1,0,4d,Strategies to handle the patient
Problem,157,1,1,1,7a,Physical Saftey
Solution,157.1,1,1,1,7a,Safety
Problem,158,1,1,1,9a,Doctors and Nursing Homes
Solution,158.1,1,1,1,1c,Contact Professional For Assitance
Problem,159,1,1,0,6g,Symptoms
Solution,159.1,1,1,1,3a,Caregiver Wellbeing
Solution,159.2,1,1,0,3a,Caregiver Wellbeing
Problem,160,1,1,0,7h,Physical Saftey
Solution,160.1,1,1,1,2a,Info Sources
Problem,161,*,*,*,*,*
Solution,161.1,1,1,1,3c,Caregiver Wellbeing
Solution,161.2,1,1,0,3c,Caregiver Wellbeing
Problem,162,1,1,1,7h,Physical Saftey
Solution,162.1,0,1,1,7c,Safety
Solution,162.2,0,1,1,7b,Safety
Problem,163,*,*,*,*,*
Solution,163.1,*,*,*,*,*
Problem,164,0,1,1,1b,Emotions of the Care Giver
Solution,164.1,1,0,1,1a,Contact Professional For Assitance
Problem,165,1,1,1,9e,Doctors and Nursing Homes
Solution,165.1,0,1,1,1c,Contact Professional For Assitance
Problem,166,1,1,1,5d,Legal Financial
Solution,166.1,1,1,1,1c,Contact Professional For Assitance
Problem,167,*,*,*,*,*
Solution,167.1,1,1,1,5a,Doctor Consultations
Problem,168,1,0,1,6f,Symptoms
Solution,168.1,1,1,1,2a,Info Sources
Problem,169,*,*,*,*,*
Solution,169.1,0,1,1,4d,Strategies to handle the patient
Problem,170,1,0,1,2a,Conflicts
Solution,170.1,1,1,0,8b,Home Care/Nursing Homes
Problem,171,1,1,1,9h,Doctors and Nursing Homes
Solution,171.1,1,1,0,3a,Caregiver Wellbeing
Problem,172,1,1,1,3b,Basic Hygiene
Solution,172.1,1,1,1,3a,Caregiver Wellbeing
Problem,173,1,0,1,2a,Conflicts
Solution,173.1,*,*,*,*,*
Solution,173.2,*,*,*,*,*
Problem,174,1,1,0,9a,Doctors and Nursing Homes
Solution,174.1,*,*,*,*,*
Problem,175,*,*,*,*,*
Solution,175.1,1,0,1,8a,Home Care/Nursing Homes
Solution,175.2,1,1,1,8c,Home Care/Nursing Homes
Problem,176,1,1,0,6f,Symptoms
Solution,176.1,1,1,1,4b,Strategies to handle the patient
Problem,177,0,1,1,2d,Conflicts
Solution,177.1,1,1,0,3a,Caregiver Wellbeing
Solution,177.2,*,*,*,*,*
Problem,178,1,0,1,10a,General Information
Solution,178.1,1,0,1,5b,Doctor Consultations
Solution,178.2,*,*,*,*,*
Problem,179,1,1,0,2d,Conflicts
Solution,179.1,0,1,1,8e,Home Care/Nursing Homes
Problem,180,1,1,1,9e,Doctors and Nursing Homes
Solution,180.1,*,*,*,*,*
Problem,181,1,1,1,7a,Physical Saftey
Solution,181.1,*,*,*,*,*
Problem,182,1,1,0,7b,Physical Saftey
Solution,182.1,1,1,0,7a,Safety
Solution,182.2,0,1,1,3a,Caregiver Wellbeing
Problem,183,1,1,1,6e,Symptoms
Solution,183.1,1,1,1,5e,Doctor Consultations
Problem,184,1,1,1,3b,Basic Hygiene
Solution,184.1,1,1,1,1a,Contact Professional For Assitance
Problem,185,*,*,*,*,*
Solution,185.1,0,1,1,3b,Caregiver Wellbeing
Solution,185.2,*,*,*,*,*
Problem,186,1,1,1,6c,Symptoms
Solution,186.1,0,1,1,6a,Medication
Problem,187,1,1,0,4a,Medicines
Solution,187.1,1,0,1,3a,Caregiver Wellbeing
Problem,188,1,1,1,6c,Symptoms
Solution,188.1,1,0,1,1a,Contact Professional For Assitance
Problem,189,1,1,1,6o,Symptoms
Solution,189.1,1,0,1,2a,Info Sources
Problem,190,1,1,1,2d,Conflicts
Solution,190.1,1,0,1,3a,Caregiver Wellbeing
Problem,191,1,1,1,7g,Physical Saftey
Solution,191.1,*,*,*,*,*
Solution,191.2,1,0,1,3a,Caregiver Wellbeing
Problem,192,1,1,1,6a,Symptoms
Solution,192.1,1,1,0,2a,Info Sources
Problem,193,1,1,1,6c,Symptoms
Solution,193.1,0,1,1,3c,Caregiver Wellbeing
Solution,193.2,1,0,1,3a,Caregiver Wellbeing
Problem,194,1,1,1,9a,Doctors and Nursing Homes
Solution,194.1,1,1,1,2a,Info Sources
Problem,195,1,1,0,6a,Symptoms
Solution,195.1,1,1,1,2a,Info Sources
Problem,196,1,1,0,6k,Symptoms
Solution,196.1,1,1,1,3c,Caregiver Wellbeing
Solution,196.2,*,*,*,*,*
Problem,197,1,0,1,9a,Doctors and Nursing Homes
Solution,197.1,0,1,1,8a,Home Care/Nursing Homes
Problem,198,*,*,*,*,*
Solution,198.1,1,0,1,3d,Caregiver Wellbeing
Solution,198.2,0,1,1,3d,Caregiver Wellbeing
Problem,199,1,0,1,9b,Doctors and Nursing Homes
Solution,199.1,*,*,*,*,*
Problem,200,1,1,0,9h,Doctors and Nursing Homes
Solution,200.1,*,*,*,*,*
Problem,201,1,0,1,4b,Medicines
Solution,201.1,1,0,1,5a,Doctor Consultations
Solution,201.2,0,1,1,8e,Home Care/Nursing Homes
Problem,202,*,*,*,*,*
Solution,202.1,1,1,1,1a,Contact Professional For Assitance
Problem,203,*,*,*,*,*
Solution,203.1,1,1,1,2a,Info Sources
Problem,204,1,0,1,1b,Emotions of the Care Giver
Solution,204.1,1,1,1,2a,Info Sources
Problem,205,1,1,0,3a,Basic Hygiene
Solution,205.1,*,*,*,*,*
Problem,206,0,1,1,1a,Emotions of the Care Giver
Solution,206.1,*,*,*,*,*
Problem,207,1,0,1,4a,Medicines
Solution,207.1,1,1,0,3a,Caregiver Wellbeing
Problem,208,1,1,1,9a,Doctors and Nursing Homes
Solution,208.1,0,1,1,8e,Home Care/Nursing Homes
Problem,209,1,1,1,9a,Doctors and Nursing Homes
Solution,209.1,*,*,*,*,*
Problem,210,1,0,1,1d,Emotions of the Care Giver
Solution,210.1,1,1,1,3d,Caregiver Wellbeing
Problem,211,1,1,1,7e,Physical Saftey
Problem,212,1,1,0,3c,Basic Hygiene
Solution,212.1,1,0,1,9c,Personal Care
Solution,212.2,0,1,1,9c,Personal Care
Problem,213,1,1,1,4a,Medicines
Solution,213.1,1,0,1,5a,Doctor Consultations
Problem,214,1,1,1,2c,Conflicts
Solution,214.1,1,1,1,4a,Strategies to handle the patient
Problem,215,*,*,*,*,*
Solution,215.1,1,1,1,2a,Info Sources
Solution,215.2,*,*,*,*,*
Problem,216,1,1,0,2c,Conflicts
Solution,216.1,*,*,*,*,*
Problem,217,1,0,1,9h,Doctors and Nursing Homes
Solution,217.1,1,0,1,8c,Home Care/Nursing Homes
Problem,218,*,*,*,*,*
Solution,218.1,0,1,1,2a,Info Sources
Problem,219,1,1,1,9e,Doctors and Nursing Homes
Solution,219.1,1,0,1,1c,Contact Professional For Assitance
Problem,220,1,1,1,3a,Basic Hygiene
Solution,220.1,*,*,*,*,*
Solution,220.2,1,1,1,2a,Info Sources
Problem,221,1,1,1,10a,General Information
Solution,221.1,1,1,1,2a,Info Sources
Solution,221.2,1,1,1,2a,Info Sources
Problem,222,0,1,1,2a,Conflicts
Solution,222.1,0,1,1,1d,Contact Professional For Assitance
Problem,223,*,*,*,*,*
Solution,223.1,0,1,1,5a,Doctor Consultations
Problem,224,0,1,1,6a,Symptoms
Solution,224.1,1,1,1,2a,Info Sources
Problem,225,1,1,1,6f,Symptoms
Solution,225.1,1,0,1,2a,Info Sources
Problem,226,*,*,*,*,*
Solution,226.1,1,1,1,4b,Strategies to handle the patient
Solution,226.2,1,0,1,3a,Caregiver Wellbeing
Solution,226.3,1,1,1,2a,Info Sources
Problem,227,*,*,*,*,*
Solution,227.1,0,1,1,3a,Caregiver Wellbeing
Problem,228,1,0,1,9c,Doctors and Nursing Homes
Solution,228.1,0,1,1,8b,Home Care/Nursing Homes
Problem,229,1,0,1,3a,Basic Hygiene
Solution,229.1,1,1,1,2a,Info Sources
Problem,230,1,1,1,6c,Symptoms
Solution,230.1,1,1,1,3c,Caregiver Wellbeing
Solution,230.2,1,1,1,3a,Caregiver Wellbeing
Problem,231,1,0,1,3a,Basic Hygiene
Solution,231.1,1,1,1,9b,Personal Care
Problem,232,0,1,1,9e,Doctors and Nursing Homes
Solution,232.1,*,*,*,*,*
Problem,233,1,1,1,7c,Physical Saftey
Solution,233.1,1,0,1,7a,Safety
Problem,234,*,*,*,*,*
Solution,234.1,1,1,0,3c,Caregiver Wellbeing
Problem,235,1,0,1,9a,Doctors and Nursing Homes
Solution,235.1,1,1,1,1a,Contact Professional For Assitance
Problem,236,*,*,*,*,*
Solution,236.1,*,*,*,*,*
Problem,237,*,*,*,*,*
Solution,237.1,1,1,1,3b,Caregiver Wellbeing
Solution,237.2,1,0,1,3b,Caregiver Wellbeing
Solution,237.3,1,1,0,3a,Caregiver Wellbeing
Problem,238,1,1,0,7h,Physical Saftey
Solution,238.1,1,1,1,2a,Info Sources
Problem,239,1,1,0,2d,Conflicts
Solution,239.1,1,1,1,3c,Caregiver Wellbeing
Solution,239.2,1,1,1,1a,Contact Professional For Assitance
Solution,239.3,1,1,0,3a,Caregiver Wellbeing
Problem,240,*,*,*,*,*
Solution,240.1,1,0,1,2a,Info Sources
Problem,241,1,1,1,6a,Symptoms
Solution,241.1,1,1,1,2a,Info Sources
Problem,242,*,*,*,*,*
Solution,242.1,1,1,1,3a,Caregiver Wellbeing
Solution,242.2,1,0,1,2a,Info Sources
Problem,243,1,1,1,7g,Physical Saftey
Solution,243.1,*,*,*,*,*
Problem,244,1,1,0,3a,Basic Hygiene
Solution,244.1,*,*,*,*,*
Problem,245,*,*,*,*,*
Problem,246,1,1,0,4b,Medicines
Solution,246.1,1,1,1,2a,Info Sources
Problem,247,0,1,1,6e,Symptoms
Solution,247.1,*,*,*,*,*
Problem,248,1,1,1,4b,Medicines
Solution,248.1,1,1,1,2a,Info Sources
Problem,249,1,1,1,7d,Physical Saftey
Solution,249.1,1,1,1,1a,Contact Professional For Assitance
Problem,250,*,*,*,*,*
Solution,250.1,*,*,*,*,*
Problem,251,*,*,*,*,*
Problem,252,1,1,1,2d,Conflicts
Solution,252.1,1,1,0,3a,Caregiver Wellbeing
Problem,253,1,1,1,9e,Doctors and Nursing Homes
Solution,253.1,1,1,1,1f,Contact Professional For Assitance
Solution,253.2,1,1,1,1f,Contact Professional For Assitance
Problem,254,*,*,*,*,*
Solution,254.1,1,1,0,8c,Home Care/Nursing Homes
Solution,254.2,1,0,1,2a,Info Sources
Solution,254.3,1,1,1,3d,Caregiver Wellbeing
Problem,255,1,0,1,1a,Emotions of the Care Giver
Problem,256,1,1,1,2d,Conflicts
Solution,256.1,1,0,1,2a,Info Sources
Problem,257,1,1,1,10a,General Information
Solution,257.1,1,0,1,5b,Doctor Consultations
Problem,258,*,*,*,*,*
Solution,258.1,1,1,1,4f,Strategies to handle the patient
Problem,259,1,0,1,6n,Symptoms
Problem,260,1,1,0,10a,General Information
Solution,260.1,0,1,1,1a,Contact Professional For Assitance
Problem,261,1,1,0,5h,Legal Financial
Solution,261.1,1,1,0,3a,Caregiver Wellbeing
Problem,262,1,0,1,5g,Legal Financial
